Date : 2024-06-22 17:02:35
Directory : /Users/baoji/Documents/VUE/fc-admin
Total : 145 files,  13626 codes, 466 comments, 1168 blanks, all 15260 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         80 |      7,319 |        107 |        778 |      8,204 |
| JSON               |          3 |      3,369 |          0 |          3 |      3,372 |
| TypeScript         |         51 |      1,576 |        332 |        155 |      2,063 |
| SCSS               |          6 |        891 |         23 |        203 |      1,117 |
| XML                |          2 |        278 |          2 |         15 |        295 |
| HTML               |          1 |        151 |          0 |         13 |        164 |
| JSON with Comments |          1 |         42 |          2 |          0 |         44 |
| Markdown           |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        145 |     13,626 |        466 |      1,168 |     15,260 |
| . (Files)                                                                              |          9 |      3,716 |         13 |         23 |      3,752 |
| public                                                                                 |          2 |        278 |          2 |         15 |        295 |
| public/img                                                                             |          2 |        278 |          2 |         15 |        295 |
| src                                                                                    |        134 |      9,632 |        451 |      1,130 |     11,213 |
| src (Files)                                                                            |          3 |         78 |          3 |         11 |         92 |
| src/api                                                                                |          6 |        163 |         51 |         28 |        242 |
| src/api (Files)                                                                        |          1 |         93 |         24 |         11 |        128 |
| src/api/modules                                                                        |          3 |         32 |          8 |          9 |         49 |
| src/api/utils                                                                          |          2 |         38 |         19 |          8 |         65 |
| src/assets                                                                             |         18 |        138 |          0 |          3 |        141 |
| src/assets/icons                                                                       |         18 |        138 |          0 |          3 |        141 |
| src/components                                                                         |         17 |      2,428 |        170 |        305 |      2,903 |
| src/components/fcEcharts                                                               |          2 |        139 |          7 |         20 |        166 |
| src/components/fcIconSelect                                                            |          2 |        179 |          8 |         31 |        218 |
| src/components/fcPasswordStrength                                                      |          1 |         96 |          7 |         19 |        122 |
| src/components/fcQrCode                                                                |          1 |         79 |          7 |          9 |         95 |
| src/components/fcQuery                                                                 |          1 |         99 |          7 |         13 |        119 |
| src/components/fcSelectFilter                                                          |          1 |        156 |          7 |         21 |        184 |
